gene set	gene
Nicotinate and nicotinamide metabolism	AC5u0009GL002134
Nitrogen metabolism	AC5u0009GL000143
Nitrogen metabolism	AC5u0009GL000245
Nitrogen metabolism	AC5u0009GL000246
Nitrogen metabolism	AC5u0009GL000247
Nitrogen metabolism	AC5u0009GL000248
One carbon pool by folate	AC5u0009GL000018
One carbon pool by folate	AC5u0009GL000024
One carbon pool by folate	AC5u0009GL000036
One carbon pool by folate	AC5u0009GL000674
One carbon pool by folate	AC5u0009GL000849
One carbon pool by folate	AC5u0009GL000908
One carbon pool by folate	AC5u0009GL001065
One carbon pool by folate	AC5u0009GL001066
One carbon pool by folate	AC5u0009GL002122
One carbon pool by folate	AC5u0009GL000065
Pantothenate and CoA biosynthesis	AC5u0009GL000026
Pantothenate and CoA biosynthesis	AC5u0009GL000373
Pantothenate and CoA biosynthesis	AC5u0009GL000435
Pantothenate and CoA biosynthesis	AC5u0009GL000781
Pantothenate and CoA biosynthesis	AC5u0009GL000820
Pantothenate and CoA biosynthesis	AC5u0009GL000965
Pantothenate and CoA biosynthesis	AC5u0009GL001095
Pantothenate and CoA biosynthesis	AC5u0009GL001384
Pentose and glucuronate interconversions	AC5u0009GL000399
Pentose and glucuronate interconversions	AC5u0009GL000463
Pentose and glucuronate interconversions	AC5u0009GL001365
Pentose and glucuronate interconversions	AC5u0009GL002037
Pentose and glucuronate interconversions	AC5u0009GL000462
Pentose phosphate pathway	AC5u0009GL000019
Pentose phosphate pathway	AC5u0009GL000399
Pentose phosphate pathway	AC5u0009GL000557
Pentose phosphate pathway	AC5u0009GL000731
Pentose phosphate pathway	AC5u0009GL000923
Pentose phosphate pathway	AC5u0009GL000982
Pentose phosphate pathway	AC5u0009GL001057
Pentose phosphate pathway	AC5u0009GL001322
Pentose phosphate pathway	AC5u0009GL001507
Pentose phosphate pathway	AC5u0009GL001508
Pentose phosphate pathway	AC5u0009GL001543
Pentose phosphate pathway	AC5u0009GL001624
Pentose phosphate pathway	AC5u0009GL001789
Pentose phosphate pathway	AC5u0009GL001859
Pentose phosphate pathway	AC5u0009GL002016
Pentose phosphate pathway	AC5u0009GL002017
Peptidoglycan biosynthesis	AC5u0009GL000102
Peptidoglycan biosynthesis	AC5u0009GL000121
Peptidoglycan biosynthesis	AC5u0009GL000352
Peptidoglycan biosynthesis	AC5u0009GL000365
Peptidoglycan biosynthesis	AC5u0009GL000826
Peptidoglycan biosynthesis	AC5u0009GL000841
Peptidoglycan biosynthesis	AC5u0009GL000981
Peptidoglycan biosynthesis	AC5u0009GL001074
Peptidoglycan biosynthesis	AC5u0009GL001089
Peptidoglycan biosynthesis	AC5u0009GL001331
Peptidoglycan biosynthesis	AC5u0009GL001332
Peptidoglycan biosynthesis	AC5u0009GL001333
Peptidoglycan biosynthesis	AC5u0009GL001334
Peptidoglycan biosynthesis	AC5u0009GL001598
Peptidoglycan biosynthesis	AC5u0009GL001732
Peptidoglycan biosynthesis	AC5u0009GL000275
