gene set	gene
H+	AC5u0009GL000911
H+	AC5u0009GL000914
H+	AC5u0009GL000915
H+	AC5u0009GL000916
H+	AC5u0009GL000918
H+	AC5u0009GL000940
H+	AC5u0009GL000942
H+	AC5u0009GL000944
H+	AC5u0009GL000955
H+	AC5u0009GL000965
H+	AC5u0009GL000967
H+	AC5u0009GL000981
H+	AC5u0009GL000982
H+	AC5u0009GL000984
H+	AC5u0009GL001026
H+	AC5u0009GL001033
H+	AC5u0009GL001034
H+	AC5u0009GL001054
H+	AC5u0009GL001057
H+	AC5u0009GL001063
H+	AC5u0009GL001064
H+	AC5u0009GL001065
H+	AC5u0009GL001066
H+	AC5u0009GL001067
H+	AC5u0009GL001071
H+	AC5u0009GL001072
H+	AC5u0009GL001080
H+	AC5u0009GL001081
H+	AC5u0009GL001089
H+	AC5u0009GL001095
H+	AC5u0009GL001105
H+	AC5u0009GL001116
H+	AC5u0009GL001119
H+	AC5u0009GL001122
H+	AC5u0009GL001144
H+	AC5u0009GL001145
H+	AC5u0009GL001152
H+	AC5u0009GL001169
H+	AC5u0009GL001170
H+	AC5u0009GL001177
H+	AC5u0009GL001178
H+	AC5u0009GL001181
H+	AC5u0009GL001182
H+	AC5u0009GL001183
H+	AC5u0009GL001184
H+	AC5u0009GL001196
H+	AC5u0009GL001208
H+	AC5u0009GL001214
H+	AC5u0009GL001217
H+	AC5u0009GL001218
H+	AC5u0009GL001221
H+	AC5u0009GL001222
H+	AC5u0009GL001225
H+	AC5u0009GL001226
H+	AC5u0009GL001233
H+	AC5u0009GL001234
H+	AC5u0009GL001235
H+	AC5u0009GL001236
H+	AC5u0009GL001245
H+	AC5u0009GL001282
H+	AC5u0009GL001301
H+	AC5u0009GL001302
H+	AC5u0009GL001304
H+	AC5u0009GL001305
H+	AC5u0009GL001307
H+	AC5u0009GL001308
H+	AC5u0009GL001313
H+	AC5u0009GL001314
H+	AC5u0009GL001315
H+	AC5u0009GL001316
H+	AC5u0009GL001317
H+	AC5u0009GL001322
H+	AC5u0009GL001333
H+	AC5u0009GL001334
H+	AC5u0009GL001344
H+	AC5u0009GL001347
H+	AC5u0009GL001353
H+	AC5u0009GL001356
H+	AC5u0009GL001358
H+	AC5u0009GL001359
H+	AC5u0009GL001360
H+	AC5u0009GL001361
H+	AC5u0009GL001362
H+	AC5u0009GL001364
H+	AC5u0009GL001365
H+	AC5u0009GL001384
H+	AC5u0009GL001387
H+	AC5u0009GL001414
H+	AC5u0009GL001424
H+	AC5u0009GL001425
H+	AC5u0009GL001426
H+	AC5u0009GL001444
H+	AC5u0009GL001454
H+	AC5u0009GL001463
H+	AC5u0009GL001465
H+	AC5u0009GL001474
H+	AC5u0009GL001478
H+	AC5u0009GL001480
H+	AC5u0009GL001485
H+	AC5u0009GL001486
H+	AC5u0009GL001494
H+	AC5u0009GL001495
H+	AC5u0009GL001496
H+	AC5u0009GL001497
H+	AC5u0009GL001499
H+	AC5u0009GL001500
H+	AC5u0009GL001505
H+	AC5u0009GL001517
H+	AC5u0009GL001518
H+	AC5u0009GL001521
H+	AC5u0009GL001529
H+	AC5u0009GL001530
H+	AC5u0009GL001541
H+	AC5u0009GL001543
H+	AC5u0009GL001551
H+	AC5u0009GL001566
H+	AC5u0009GL001585
H+	AC5u0009GL001591
H+	AC5u0009GL001598
H+	AC5u0009GL001601
H+	AC5u0009GL001604
H+	AC5u0009GL001632
H+	AC5u0009GL001661
H+	AC5u0009GL001666
H+	AC5u0009GL001667
H+	AC5u0009GL001684
H+	AC5u0009GL001685
H+	AC5u0009GL001737
H+	AC5u0009GL001747
H+	AC5u0009GL001760
H+	AC5u0009GL001775
H+	AC5u0009GL001777
H+	AC5u0009GL001789
H+	AC5u0009GL001791
H+	AC5u0009GL001811
H+	AC5u0009GL001848
H+	AC5u0009GL001849
H+	AC5u0009GL001852
H+	AC5u0009GL001853
H+	AC5u0009GL001859
H+	AC5u0009GL001869
H+	AC5u0009GL001874
H+	AC5u0009GL001877
H+	AC5u0009GL001878
H+	AC5u0009GL001880
H+	AC5u0009GL001882
H+	AC5u0009GL001883
H+	AC5u0009GL001884
H+	AC5u0009GL001885
H+	AC5u0009GL001886
H+	AC5u0009GL001887
H+	AC5u0009GL001889
H+	AC5u0009GL001890
H+	AC5u0009GL001891
H+	AC5u0009GL001892
H+	AC5u0009GL001894
H+	AC5u0009GL001895
H+	AC5u0009GL001896
H+	AC5u0009GL001897
H+	AC5u0009GL001898
H+	AC5u0009GL001900
H+	AC5u0009GL001901
H+	AC5u0009GL001902
H+	AC5u0009GL001903
H+	AC5u0009GL001904
H+	AC5u0009GL001912
H+	AC5u0009GL001913
H+	AC5u0009GL001915
H+	AC5u0009GL001937
H+	AC5u0009GL001971
H+	AC5u0009GL002010
H+	AC5u0009GL002016
H+	AC5u0009GL002019
H+	AC5u0009GL002024
H+	AC5u0009GL002027
H+	AC5u0009GL002028
H+	AC5u0009GL002037
H+	AC5u0009GL002043
H+	AC5u0009GL002062
H+	AC5u0009GL002064
H+	AC5u0009GL002080
H+	AC5u0009GL002081
H+	AC5u0009GL002082
H+	AC5u0009GL002083
H+	AC5u0009GL002112
H+	AC5u0009GL002122
H+	AC5u0009GL002127
H+	AC5u0009GL002128
H+	AC5u0009GL002129
H+	AC5u0009GL002133
H+	AC5u0009GL000462
H+	AC5u0009GL001171
H+	AC5u0009GL001417
H+	AC5u0009GL000883
H+	AC5u0009GL000277
H+	AC5u0009GL000275
H+	AC5u0009GL001962
H+	AC5u0009GL000574
H+	AC5u0009GL000357
H+	AC5u0009GL001520
H+	AC5u0009GL000396
H+	AC5u0009GL001810
H+	AC5u0009GL001113
H+	AC5u0009GL000902
H+	AC5u0009GL001746
H+	AC5u0009GL001117
H+	AC5u0009GL000642
H+	AC5u0009GL002154
H+	AC5u0009GL000351
H+	AC5u0009GL000377
H+	AC5u0009GL001888
H+	AC5u0009GL001532
H+	AC5u0009GL001289
H+	AC5u0009GL001680
H+	AC5u0009GL001858
H+	AC5u0009GL000078
H+	AC5u0009GL000020
H+	AC5u0009GL000251
H+	AC5u0009GL000253
H+	AC5u0009GL000698
H+	AC5u0009GL000245
H+	AC5u0009GL000246
H+	AC5u0009GL000247
H+	AC5u0009GL000248
H+	AC5u0009GL000252
H+	AC5u0009GL000260
H+	AC5u0009GL000327
H+	AC5u0009GL000376
H+	AC5u0009GL000690
H+	AC5u0009GL000691
H+	AC5u0009GL000958
H+	AC5u0009GL001042
H+	AC5u0009GL001161
H+	AC5u0009GL001162
H+	AC5u0009GL001259
H+	AC5u0009GL001268
H+	AC5u0009GL001352
H+	AC5u0009GL001503
H+	AC5u0009GL001552
H+	AC5u0009GL001630
