gene set	gene
5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming)	AC5u0009GL000900
5-amino-6-(5-phosphoribosylamino)uracil reductase	AC5u0009GL001777
5-aminolevulinate synthase;	AC5u0009GL001480
5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase	AC5u0009GL000325
5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase	AC5u0009GL000899
5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase	AC5u0009GL000900
5-formyltetrahydrofolate cyclo-ligase	AC5u0009GL000018
5-formyltetrahydrofolate cyclo-ligase	AC5u0009GL000065
5-methyltetrahydropteroyltri-L-glutamate:L-selenohomocysteine Se-methyltransferase	AC5u0009GL000437
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	AC5u0009GL000437
6-(hydroxymethyl)-7,8-dihydropterin:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase	AC5u0009GL000847
6-(hydroxymethyl)-7,8-dihydropterin:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase	AC5u0009GL001068
6-phosphogluconolactonase	AC5u0009GL001322
7,8-dihydroneopterin 2'-epimerase	AC5u0009GL001062
ADPribose diphosphatase	AC5u0009GL001344
ATP maintenance requirment	AC5u0009GL001532
ATP synthase (three protons for one ATP)	AC5u0009GL000103
ATP synthase (three protons for one ATP)	AC5u0009GL000104
ATP synthase (three protons for one ATP)	AC5u0009GL000105
ATP synthase (three protons for one ATP)	AC5u0009GL000106
ATP synthase (three protons for one ATP)	AC5u0009GL000107
ATP synthase (three protons for one ATP)	AC5u0009GL000108
ATP synthase (three protons for one ATP)	AC5u0009GL000110
ATP:L-homoserine O-phosphotransferase	AC5u0009GL000901
ATP:alpha-D-glucose-1-phosphate adenylyltransferase	AC5u0009GL000632
ATP:alpha-D-glucose-1-phosphate adenylyltransferase	AC5u0009GL002164
ATP:dGMP phosphotransferase	AC5u0009GL000028
ATP:dIDP phosphotransferase	AC5u0009GL000603
ATP:nicotinamide-nucleotide adenylyltransferase	AC5u0009GL000090
Acetyl-CoA:L-homoserine O-acetyltransferase	AC5u0009GL002042
Acid phosphatase (FMN)	AC5u0009GL000581
Acid phosphatase (FMN)	AC5u0009GL000858
Acid phosphatase (FMN)	AC5u0009GL000093
Adenine Adenosylcobalamide phosphate phosphatase	AC5u0009GL001876
Adenine Adenosylcobalamin 5-phosphate synthase	AC5u0009GL001877
Adenosine deaminase	AC5u0009GL000758
Adenosine kinase	AC5u0009GL000309
Adenosyl cobainamide GTP transferase	AC5u0009GL001878
Adenosyl cobinamide kinase	AC5u0009GL001878
Adenosyl cobyrinate a,c diamide  <=> Adenosyl cobyrinate hexaamide	AC5u0009GL001884
Adenosylcobinamide-phosphate synthase	AC5u0009GL001900
Adentylate kinase (GTP)	AC5u0009GL000309
Adentylate kinase (ITP)	AC5u0009GL000309
Adenylate kinase (Inorganic triphosphate)	AC5u0009GL000309
Adenylyl-sulfate kinase	AC5u0009GL000071
Alanine transaminase	AC5u0009GL000116
